MAN,2020-07-13(buy)
VAC,2020-07-13(buy)
MATX,2020-07-10(buy)
MBI,2020-07-09(sell*),2020-07-10(buy)
MCX,2020-07-10(buy*)
MFAC,2020-07-10(buy*)
MTH,2020-07-13(sell)
MIN,2020-07-09(buy)
MLR,2020-07-09(sell*)
MR,2020-07-10(buy),2020-07-13(sell*)
MSGN,2020-07-13(buy)
MLI,2020-07-09(sell),2020-07-10(buy*)
MWA,2020-07-09(sell)
NTP,2020-07-09(buy*)
NFG,2020-07-09(sell*)
NPK,2020-07-09(sell*)
NGS,2020-07-10(sell)
NGVC,2020-07-10(sell)
NM,2020-07-09(sell*)
NMM,2020-07-09(sell)
NWHM,2020-07-13(buy*)
NJR,2020-07-09(sell*)
NEU,2020-07-09(sell*),2020-07-13(buy)
NAT,2020-07-10(buy)
NWE,2020-07-09(sell*),2020-07-13(buy)
NRG,2020-07-13(buy)
NVG,2020-07-10(buy*)
NCA,2020-07-10(buy*)
NAC,2020-07-10(buy*)
JCE,2020-07-10(buy)
DIAX,2020-07-13(sell)
JEMD,2020-07-09(buy*),2020-07-10(sell)
NEV,2020-07-09(buy*)
NMY,2020-07-09(buy*)
NUM,2020-07-10(buy*)
JLS,2020-07-09(sell)
NHA,2020-07-09(buy*),2020-07-10(sell)
NZF,2020-07-10(buy*)
NRK,2020-07-09(buy*)
NAN,2020-07-10(buy*)
NPN,2020-07-13(buy*)
JPI,2020-07-09(sell)
NXR,2020-07-13(sell)
NBB,2020-07-13(buy*)
JTA,2020-07-09(sell)
OGE,2020-07-09(sell*),2020-07-10(buy)
OI,2020-07-10(sell)
ODC,2020-07-09(sell*),2020-07-13(buy)
OHI,2020-07-10(buy)
OMC,2020-07-09(sell*)
ORAN,2020-07-10(sell*),2020-07-13(buy)
OMI,2020-07-10(sell*)
PHX,2020-07-13(buy)
PAG,2020-07-09(sell),2020-07-10(buy*)
PNR,2020-07-10(buy*)
PBT,2020-07-13(buy)
PRGO,2020-07-09(sell),2020-07-13(buy*)
DNK,2020-07-09(buy*)
PHR,2020-07-13(buy*)
PCQ,2020-07-10(buy*)
PCI,2020-07-09(sell)
PGP,2020-07-10(sell*)
PHK,2020-07-10(sell)
PFL,2020-07-09(buy*),2020-07-13(sell)
PFN,2020-07-09(buy*),2020-07-10(sell)
PML,2020-07-13(sell)
PMX,2020-07-10(sell)
PNF,2020-07-10(sell)
PHT,2020-07-13(sell)
MHI,2020-07-09(buy*)
PIC,2020-07-10(buy*)
POR,2020-07-13(buy)
POST,2020-07-09(sell*)
PPG,2020-07-09(sell)
PLD,2020-07-13(sell)
PROS,2020-07-13(buy)
PBY,2020-07-10(buy*)
PRS,2020-07-09(buy*)
PSA,2020-07-13(sell*)
PMM,2020-07-09(buy*)
PMO,2020-07-10(buy*)
PYX,2020-07-09(buy)
QTS,2020-07-13(sell)
RRD,2020-07-10(buy)
RMED,2020-07-09(buy)
RYN,2020-07-10(buy*)
RSG,2020-07-13(buy)
RMD,2020-07-13(sell)
RVLV,2020-07-10(buy*)
REXR,2020-07-13(sell)
RNG,2020-07-13(sell)
RIO,2020-07-10(buy*)
RAD,2020-07-13(sell)
RMM,2020-07-10(buy*)
RIV,2020-07-09(sell)
OPP,2020-07-13(buy*)
RMG,2020-07-13(buy*)
ROG,2020-07-09(sell)
R,2020-07-09(sell),2020-07-10(buy*)
SD,2020-07-10(buy)
SAF,2020-07-09(buy*),2020-07-10(sell)
KTF,2020-07-09(buy*)
SCU,2020-07-13(buy)
SCVX,2020-07-10(buy*)
SE,2020-07-13(sell)
SEAS,2020-07-10(buy),2020-07-13(sell*)
SEM,2020-07-13(buy)
SRE,2020-07-13(buy)
ST,2020-07-13(buy)
SXT,2020-07-09(sell),2020-07-13(buy*)
NOW,2020-07-13(sell)
SJR,2020-07-13(buy)
SHW,2020-07-13(sell)
SHG,2020-07-09(sell*)
SJW,2020-07-13(buy*)
WORK,2020-07-09(buy*)
SMAR,2020-07-13(sell)
SNAP,2020-07-13(sell)
SNE,2020-07-10(buy*)
SJIJ,2020-07-09(buy)
SO,2020-07-10(buy)
SOJA,2020-07-10(buy),2020-07-13(sell*)
SOJB,2020-07-10(buy)
SWN,2020-07-10(buy),2020-07-13(sell*)
SPE,2020-07-09(sell)
SPOT,2020-07-13(sell)
SCL,2020-07-09(sell*),2020-07-10(buy)
STC,2020-07-13(buy*)
STM,2020-07-09(buy*)
GJS,2020-07-10(sell)
RGR,2020-07-09(sell)
SXC,2020-07-13(buy)
SUP,2020-07-10(buy*),2020-07-13(sell)
SWCH,2020-07-13(sell)
SBE,2020-07-09(buy*)
GJR,2020-07-08(buy)
GJT,2020-07-10(buy*)
TARO,2020-07-09(sell*)
TSI,2020-07-09(buy)
FTI,2020-07-13(buy)
TECK,2020-07-10(buy*)
TK,2020-07-13(buy)
HQH,2020-07-13(sell)
THW,2020-07-10(sell)
TDJ,2020-07-10(buy*),2020-07-13(sell)
TTI,2020-07-10(sell)
AES,2020-07-09(sell),2020-07-13(buy*)
SCHW,2020-07-10(buy)
COO,2020-07-09(buy)
THGA,2020-07-09(buy)
TPRE,2020-07-13(buy)
SHLL,2020-07-13(sell)
TAC,2020-07-09(sell),2020-07-13(buy*)
THS,2020-07-10(buy)
TREX,2020-07-09(buy*),2020-07-10(sell)
TRTN,2020-07-13(buy)
TROX,2020-07-09(sell)
TUFN,2020-07-13(buy)
TWLO,2020-07-13(sell)
UPS,2020-07-13(sell)
USM,2020-07-13(buy)
UZA,2020-07-13(buy)
UZB,2020-07-09(buy*),2020-07-13(sell)
UNH,2020-07-09(sell),2020-07-13(buy*)
UTL,2020-07-10(buy)
UNMA,2020-07-10(buy*)
VVV,2020-07-09(buy*)
VAR,2020-07-09(sell)
